Timestamp,CPU_Percent,CPU_Cores_Used,Mem_Used_GB,Mem_Percent,Python_Processes,Docker_Containers,Load_1min,Load_5min,Load_15min
2025-11-21 15:18:13,1.4,1.46,42,11.3,0,15,9.41,7.57,4.66
2025-11-21 15:18:16,1.7,1.77,42,11.3,0,15,9.41,7.57,4.66
2025-11-21 15:18:18,7.2,7.49,42,11.3,0,15,8.98,7.51,4.66
2025-11-21 15:18:21,1.3,1.35,42,11.3,0,15,8.98,7.51,4.66
2025-11-21 15:18:23,1.2,1.25,42,11.3,0,15,8.26,7.38,4.63
2025-11-21 15:18:26,11.6,12.06,42,11.3,10,15,8.26,7.38,4.63
2025-11-21 15:18:28,12.0,12.48,44,11.8,10,15,9.04,7.56,4.71
2025-11-21 15:18:31,38.0,39.52,45,12.1,10,15,9.04,7.56,4.71
2025-11-21 15:18:33,3.8,3.95,45,12.1,10,15,13.76,8.56,5.05
2025-11-21 15:18:36,3.7,3.85,45,12.1,10,15,13.76,8.56,5.05
2025-11-21 15:18:38,2.5,2.60,45,12.1,10,15,12.74,8.44,5.02
2025-11-21 15:18:41,2.0,2.08,45,12.1,10,15,12.74,8.44,5.02
2025-11-21 15:18:43,7.1,7.38,45,12.1,10,15,12.04,8.36,5.02
2025-11-21 15:18:46,22.4,23.30,45,12.1,10,15,12.04,8.36,5.02
2025-11-21 15:18:48,4.6,4.78,46,12.3,10,15,14.76,8.99,5.24
2025-11-21 15:18:51,8.4,8.74,46,12.3,10,15,14.76,8.99,5.24
2025-11-21 15:18:53,2.7,2.81,46,12.3,10,15,14.54,9.04,5.28
2025-11-21 15:18:56,3.7,3.85,46,12.3,10,15,14.54,9.04,5.28
2025-11-21 15:18:58,4.4,4.58,46,12.3,10,15,13.61,8.94,5.26
2025-11-21 15:19:01,4.4,4.58,46,12.3,10,15,13.61,8.94,5.26
2025-11-21 15:19:03,2.3,2.39,46,12.3,10,15,13.16,8.92,5.28
2025-11-21 15:19:06,2.6,2.70,46,12.3,10,15,13.16,8.92,5.28
